MLS_NUMBER,OPEN_STATUS,LISTING_Date,LISTING_PRICE,LOCATION,SOLD_PRICE,URL,DAYS_ON_MARKET,LATITUDE,LONGTIDUE,ACRES,PRICE_PER_ARC
null,For Sale,2023-09-01,"$8,848,500","TBD CR 53, Craig, CO 81625 - Moffat County",8848500,https://www.land.com/property/5899-acres-in-Moffat-County-Colorado/17868863/,3,40.4177,-108.0373,5,1769700
 ID_Bonneville_00001,For Sale,2023-08-27,"$1,628,000","10486 E Ririe Hwy, Idaho Falls, ID 83401 - Bonneville County",1628000,https://www.land.com/property/74-acres-in-Bonneville-County-Idaho/15644242/,8,43.605055,-111.82683,74,22000
 UT_Iron_00001,For Sale,2023-08-09,"$1,920,000","Fremont Canyon Road, Beaver, UT 84760 - Beaver County",1920000,https://www.land.com/property/Fremont-Canyon-Road-Beaver-Utah-84760/17901050/,26,38.108361,-112.506469,640,3000
 384764,For Sale,2023-08-07,"$13,400,000","5 beds • 2 baths3569 Gosman Lane, Lima, MT 59724 - Beaverhead County",13400000,https://www.land.com/property/6177-acres-in-Beaverhead-County-Montana/17879540/,28,44.6868097,-112.6897253,6,2233333
null,For Sale,2023-07-05,"$39,500,000","7 beds • 6 baths • 3 half baths • 7,980 sq ftThree Forks, MT 59752 - Gallatin County",39500000,https://www.land.com/property/6220-acres-in-Gallatin-County-Montana/16780372/,61,45.685625,-111.473345,6,6583333
null,For Sale,2023-08-01,"$15,000,000","8 beds • 2 baths • 2,400 sq ftCherry Creek, NV 89301 - White Pine County",15000000,https://www.land.com/property/860000-acres-in-White-Pine-County-Nevada/17802042/,34,40.019248,-114.934588,860,17442
null,For Sale,2023-06-30,"$11,450,000","14 beds • 10 baths • 9,000 sq ftScofield, UT 84526 - Carbon County",11450000,https://www.land.com/property/2230-acres-in-Carbon-County-Utah/17404577/,66,,,2,5725000
 3158,For Sale,2023-08-12,"$2,000,000","Wells, NV 89835 - Elko County",2000000,https://www.land.com/property/3795.93-acres-in-Elko-County-Nevada/9118466/,23,41.06039,-114.99428,3,666667
null,For Sale,2023-06-15,"$2,500,000","4 beds • 3 baths • 1 half bath • 3,000 sq ft125 Sun River Road, Great Falls, MT 59404 - Cascade County",2500000,https://www.land.com/property/67-acres-in-Cascade-County-Montana/16442568/,81,47.50231,-111.360785,67,37313
 37632,For Sale,2023-04-30,"$4,975,000","Big Timber, MT 59011 - Sweet Grass County",4975000,https://www.land.com/property/2672-acres-in-Sweet-Grass-County-Montana/15338481/,127,,,2,2487500
 373605,For Sale,2022-09-10,"$2,750,000","199 Grove Creek Road, Fishtail, MT 59028 - Stillwater County",2750000,https://www.land.com/property/500-acres-in-Stillwater-County-Montana/15086227/,359,45.4713032,-109.5420177,500,5500
null,For Sale,2023-09-03,"$1,820,000","1308 W Bonnie Way, Lot 23, Midway, UT 84049 - Wasatch County",1820000,https://www.land.com/property/16-acres-in-Wasatch-County-Utah/17557996/,1,40.5237159729,-111.475440979,16,113750
 20233911,For Sale,2023-08-09,"$295,000","3 beds • 2 baths • 1,360 sq ft12283 U.S. 26, Riverton, WY 82501 - Fremont County",295000,https://www.land.com/property/12283-U.S.-26-Riverton-Wyoming-82501/17900343/,26,43.103635,-108.552535,3,98333
